Area Type,Area Name,Period,SOC Level,Standard Occupational Classification (SOC),Occupational Title,Base Year Employment Estimate,Projected Year Employment Estimate,Numeric Change,Percentage Change,Exits,Transfers,Total Job Openings,Median Hourly Wage,Median Annual Wage,Entry Level Education,Work Experience,Job Training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,11-3121,Human Resources Managers,2430,2890,460,18.9,620,1490,2570,63.49,"132,056",Bachelor's degree,5 years or more,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,11-3131,Training and Development Managers,490,580,90,18.4,120,360,570,64.82,"134,814",Bachelor's degree,5 years or more,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,3,11-9000,Other Management Occupations,49370,60140,10770,21.8,15010,27810,53590,0.00,0,N/A,N/A,N/A
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",760,820,60,7.9,490,280,830,47.53,"98,860",High school diploma or equivalent,5 years or more,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,11-9021,Construction Managers,6710,8220,1510,22.5,1540,3780,6830,53.62,"111,544",Bachelor's degree,None,Moderate-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,11-9031,"Education Administrators, Preschool and Childcare Center/Program",790,940,150,19.0,210,400,760,25.42,"52,856",Bachelor's degree,Less than 5 years,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,11-9032,"Education Administrators, Elementary and Secondary School",1730,2000,270,15.6,460,870,1600,0.00,"130,720",Master's degree,5 years or more,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,11-9033,"Education Administrators, Postsecondary",1260,1410,150,11.9,330,620,1100,61.60,"128,128",Master's degree,Less than 5 years,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,11-9041,Architectural and Engineering Managers,3800,4290,490,12.9,730,2050,3270,81.23,"168,951",Bachelor's degree,5 years or more,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,11-9051,Food Service Managers,5180,7040,1860,35.9,1870,4880,8610,29.53,"61,441",High school diploma or equivalent,Less than 5 years,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,11-9081,Lodging Managers,650,860,210,32.3,290,520,1020,31.16,"64,811",High school diploma or equivalent,Less than 5 years,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,11-9111,Medical and Health Services Managers,4020,5660,1640,40.8,1210,2460,5310,50.96,"106,003",Bachelor's degree,Less than 5 years,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,11-9121,Natural Sciences Managers,600,750,150,25.0,130,330,610,80.28,"166,986",Bachelor's degree,5 years or more,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,11-9141,"Property, Real Estate, and Community Association Managers",9820,11230,1410,14.4,4000,3970,9380,29.72,"61,809",High school diploma or equivalent,Less than 5 years,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,11-9151,Social and Community Service Managers,1820,2110,290,15.9,590,1050,1930,37.52,"78,038",Bachelor's degree,Less than 5 years,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,11-9198,"Personal Service Managers; Entertainment & Recreation Managers, Except Gambling; and Managers, All Other",10790,13140,2350,21.8,2780,5870,11000,0.00,0,Bachelor's degree,Less than 5 years,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,2,13-0000,Business and Financial Operations Occupations,126600,147330,20730,16.4,35230,78930,134890,38.38,"79,840",N/A,N/A,N/A
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,3,13-1000,Business Operations Specialists,84450,100000,15550,18.4,24100,53970,93620,0.00,0,N/A,N/A,N/A
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,13-1020,Buyers and Purchasing Agents,6030,6170,140,2.3,2070,3910,6120,31.42,"65,347",Bachelor's degree,None,Moderate-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,13-1031,"Claims Adjusters, Examiners, and Investigators",2200,2170,-30,-1.4,510,1140,1620,38.48,"80,040",High school diploma or equivalent,None,Long-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,13-1032,"Insurance Appraisers, Auto Damage",130,140,10,7.7,30,70,110,31.00,"64,477",Postsecondary non-degree award,None,Moderate-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,13-1041,Compliance Officers,4550,5060,510,11.2,1160,2560,4230,39.27,"81,673",Bachelor's degree,None,Moderate-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,13-1051,Cost Estimators,3320,3690,370,11.1,990,2120,3480,33.58,"69,855",Bachelor's degree,None,Moderate-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,13-1071,Human Resources Specialists,8100,9910,1810,22.3,2440,5980,10230,35.83,"74,527",Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,13-1075,Labor Relations Specialists,390,380,-10,-2.6,100,250,340,40.47,"84,186",Bachelor's degree,Less than 5 years,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,13-1081,Logisticians,2390,3420,1030,43.1,610,1890,3530,39.59,"82,342",Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,13-1111,Management Analysts,10410,12460,2050,19.7,3680,6580,12310,48.01,"99,855",Bachelor's degree,Less than 5 years,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,13-1121,"Meeting, Convention, and Event Planners",1260,1700,440,34.9,440,1090,1970,29.88,"62,162",Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,13-1131,Fundraisers,500,620,120,24.0,170,360,650,30.69,"63,835",Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,13-1141,"Compensation, Benefits, and Job Analysis Specialists",830,950,120,14.5,270,520,910,38.03,"79,102",Bachelor's degree,Less than 5 years,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,13-1151,Training and Development Specialists,2800,3330,530,18.9,930,1880,3340,31.43,"65,364",Bachelor's degree,Less than 5 years,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,13-1161,Market Research Analysts and Marketing Specialists,11200,14920,3720,33.2,3100,9540,16360,36.63,"76,197",Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,13-1198,"Project Management Specialists and Business Operations Specialists, All Other",30180,34930,4750,15.7,7550,15960,28260,0.00,0,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,3,13-2000,Financial Specialists,42150,47320,5170,12.3,11140,24960,41270,0.00,0,N/A,N/A,N/A
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,13-2011,Accountants and Auditors,17130,19560,2430,14.2,5110,10870,18410,39.20,"81,537",Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,13-2020,Property Appraisers and Assessors,830,960,130,15.7,340,330,800,38.44,"79,955",Bachelor's degree,None,Long-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,13-2031,Budget Analysts,250,280,30,12.0,60,140,230,43.86,"91,227",Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,13-2041,Credit Analysts,1170,1200,30,2.6,200,790,1020,38.34,"79,738",Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,13-2052,Personal Financial Advisors,5780,6420,640,11.1,1380,3000,5020,49.18,"102,296",Bachelor's degree,None,Long-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,13-2053,Insurance Underwriters,1190,1210,20,1.7,250,630,900,39.93,"83,037",Bachelor's degree,None,Moderate-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,13-2061,Financial Examiners,520,640,120,23.1,150,270,540,38.35,"79,757",Bachelor's degree,None,Long-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,13-2071,Credit Counselors,200,230,30,15.0,50,120,200,24.68,"51,353",Bachelor's degree,None,Moderate-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,13-2072,Loan Officers,7630,8410,780,10.2,1720,4370,6870,30.17,"62,758",Bachelor's degree,Less than 5 years,Moderate-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,13-2081,"Tax Examiners and Collectors, and Revenue Agents",350,330,-20,-5.7,130,150,260,50.91,"105,899",Bachelor's degree,None,Moderate-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,13-2098,"Financial and Investment Analysts, Financial Risk Specialists, and Financial Specialists, All Other",6060,6950,890,14.7,1140,3710,5740,0.00,0,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,2,15-0000,Computer and Mathematical Occupations,57040,67550,10510,18.4,13360,30700,54570,50.03,"104,066",N/A,N/A,N/A
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,3,15-1200,Computer Occupations,54460,64010,9550,17.5,12730,29260,51540,0.00,0,N/A,N/A,N/A
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,15-1211,Computer Systems Analysts,4530,5010,480,10.6,930,2350,3760,51.68,"107,476",Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,15-1212,Information Security Analysts,970,1360,390,40.2,180,640,1210,58.45,"121,583",Bachelor's degree,Less than 5 years,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,15-1221,Computer and Information Research Scientists,300,420,120,40.0,60,180,360,69.39,"144,328",Master's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,15-1231,Computer Network Support Specialists,1280,1460,180,14.1,260,730,1170,37.11,"77,178",Associate's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,15-1232,Computer User Support Specialists,5750,6510,760,13.2,1150,3240,5150,30.20,"62,824","Some college, no degree",None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,15-1241,Computer Network Architects,1580,1740,160,10.1,230,750,1140,60.12,"125,050",Bachelor's degree,5 years or more,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,15-1244,Network and Computer Systems Administrators,2520,2750,230,9.1,440,1240,1910,47.45,"98,696",Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,15-1245,Database Administrators and Architects,2450,2740,290,11.8,600,1270,2160,0.00,0,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,15-1251,Computer Programmers,1910,1790,-120,-6.3,370,840,1090,51.27,"106,638",Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,15-1256,Software Developers and Software Quality Assurance Analysts and Testers,22120,27590,5470,24.7,5760,12190,23420,0.00,0,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,15-1257,Web Developers and Digital Interface Designers,2480,2960,480,19.4,630,1330,2440,0.00,0,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,15-1299,"Computer Occupations, All Other",8600,9690,1090,12.7,2120,4480,7690,41.71,"86,761",Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,3,15-2000,Mathematical Science Occupations,2580,3540,960,37.2,620,1440,3020,0.00,0,N/A,N/A,N/A
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,15-2011,Actuaries,180,240,60,33.3,30,80,170,60.12,"125,050",Bachelor's degree,None,Long-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,15-2031,Operations Research Analysts,870,1150,280,32.2,220,440,940,39.37,"81,895",Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,15-2041,Statisticians,230,350,120,52.2,60,150,330,51.00,"106,093",Master's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,15-2098,"Data Scientists and Mathematical Science Occupations, All Other",1280,1790,510,39.8,310,770,1590,0.00,0,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,2,17-0000,Architecture and Engineering Occupations,34400,39340,4940,14.4,8870,17570,31380,47.34,"98,473",N/A,N/A,N/A
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,3,17-1000,"Architects, Surveyors, and Cartographers",3420,3930,510,14.9,1050,1600,3160,0.00,0,N/A,N/A,N/A
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,17-1011,"Architects, Except Landscape and Naval",2480,2880,400,16.1,740,1140,2280,45.27,"94,158",Bachelor's degree,None,Internship/residency
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,17-1012,Landscape Architects,390,430,40,10.3,110,170,320,39.48,"82,129",Bachelor's degree,None,Internship/residency
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,17-1022,Surveyors,470,520,50,10.6,170,250,470,49.09,"102,104",Bachelor's degree,None,Internship/residency
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,3,17-2000,Engineers,22390,25960,3570,15.9,5070,10250,18890,0.00,0,N/A,N/A,N/A
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,17-2011,Aerospace Engineers,1140,1300,160,14.0,250,420,830,65.44,"136,124",Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,17-2031,Biomedical Engineers,350,420,70,20.0,80,160,310,49.64,"103,265",Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,17-2041,Chemical Engineers,180,200,20,11.1,40,70,130,51.18,"106,448",Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,17-2051,Civil Engineers,4140,4950,810,19.6,900,2260,3970,49.36,"102,676",Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,17-2061,Computer Hardware Engineers,1070,1210,140,13.1,220,540,900,68.00,"141,445",Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,17-2071,Electrical Engineers,3340,3920,580,17.4,860,1450,2890,54.34,"113,016",Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,17-2072,"Electronics Engineers, Except Computer",2250,2510,260,11.6,570,950,1780,53.20,"110,645",Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,17-2081,Environmental Engineers,370,430,60,16.2,90,200,350,50.58,"105,191",Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",130,140,10,7.7,30,50,90,64.19,"133,511",Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,17-2112,Industrial Engineers,2600,3180,580,22.3,630,1160,2370,49.92,"103,838",Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,17-2131,Materials Engineers,240,270,30,12.5,50,100,180,48.52,"100,921",Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,17-2141,Mechanical Engineers,3260,3700,440,13.5,600,1430,2470,49.60,"103,173",Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,17-2199,"Engineers, All Other",3210,3600,390,12.1,720,1410,2520,49.96,"103,898",Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,3,17-3000,"Drafters, Engineering Technicians, and Mapping Technicians",8590,9450,860,10.0,2750,5720,9330,0.00,0,N/A,N/A,N/A
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,17-3011,Architectural and Civil Drafters,2120,2410,290,13.7,700,1440,2430,30.89,"64,254",Associate's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,17-3012,Electrical and Electronics Drafters,500,540,40,8.0,160,330,530,30.78,"64,028",Associate's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,17-3013,Mechanical Drafters,600,600,0,0.0,180,380,560,30.00,"62,412",Associate's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,17-3019,"Drafters, All Other",260,260,0,0.0,80,170,250,24.47,"50,889",Associate's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,17-3021,Aerospace Engineering and Operations Technicians,110,130,20,18.2,40,70,130,38.92,"80,962",Associate's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,17-3022,Civil Engineering Technicians,430,480,50,11.6,140,280,470,31.05,"64,580",Associate's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,17-3023,Electrical and Electronics Engineering Technicians,2140,2240,100,4.7,660,1350,2110,31.24,"64,966",Associate's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,17-3024,Electro-Mechanical Technicians,230,250,20,8.7,70,150,240,30.06,"62,536",Associate's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,17-3025,Environmental Engineering Technicians,110,130,20,18.2,40,70,130,29.90,"62,189",Associate's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,17-3026,Industrial Engineering Technicians,370,420,50,13.5,120,240,410,30.38,"63,179",Associate's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,17-3027,Mechanical Engineering Technicians,450,520,70,15.6,150,300,520,30.38,"63,179",Associate's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,17-3031,Surveying and Mapping Technicians,350,390,40,11.4,130,320,490,39.18,"81,504",High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,17-3098,"Calibration and Engineering Technologists and Technicians, Except Drafters, All Other",930,1090,160,17.2,300,620,1080,0.00,0,Associate's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,2,19-0000,"Life, Physical, and Social Science Occupations",13100,15770,2670,20.4,3050,9860,15580,37.33,"77,641",N/A,N/A,N/A
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,3,19-1000,Life Scientists,2550,3140,590,23.1,430,1840,2860,0.00,0,N/A,N/A,N/A
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,19-1012,Food Scientists and Technologists,110,110,0,0.0,20,90,110,41.05,"85,374",Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,19-1021,Biochemists and Biophysicists,150,180,30,20.0,30,120,180,47.42,"98,627",Doctoral or professional degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,19-1022,Microbiologists,240,280,40,16.7,40,180,260,49.35,"102,658",Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,19-1029,"Biological Scientists, All Other",560,700,140,25.0,100,440,680,42.01,"87,370",Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,19-1042,"Medical Scientists, Except Epidemiologists",1250,1570,320,25.6,190,810,1320,50.76,"105,590",Doctoral or professional degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,3,19-2000,Physical Scientists,2250,2720,470,20.9,390,1860,2720,0.00,0,N/A,N/A,N/A
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,19-2012,Physicists,110,150,40,36.4,20,60,120,65.62,"136,497",Doctoral or professional degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,19-2031,Chemists,900,1080,180,20.0,150,740,1070,38.97,"81,073",Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,19-2041,"Environmental Scientists and Specialists, Including Health",820,990,170,20.7,150,720,1040,39.56,"82,286",Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,19-2042,"Geoscientists, Except Hydrologists and Geographers",230,270,40,17.4,40,200,280,39.73,"82,629",Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,3,19-3000,Social Scientists and Related Workers,2820,3270,450,16.0,700,1530,2680,0.00,0,N/A,N/A,N/A
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,19-3011,Economists,150,180,30,20.0,30,80,140,63.66,"132,420",Master's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,19-3031,"Clinical, Counseling, and School Psychologists",1510,1700,190,12.6,420,630,1240,0.00,0,Doctoral or professional degree,None,Internship/residency
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,19-3039,"Psychologists, All Other",130,140,10,7.7,40,50,100,82.22,"171,000",Master's degree,None,Internship/residency
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,19-3051,Urban and Regional Planners,450,520,70,15.6,80,340,490,49.16,"102,248",Master's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2020-2030,4,19-3091,Anthropologists and Archeologists,140,170,30,21.4,30,100,160,30.75,"63,951",Master's degree,None,None
